fold,train_years,val_year,test_year,test_AP,test_f1,test_iou,test_loss,test_precision,test_recall
0,"2018,2019",2020,2021,0.475177526473999,0.5888572931289673,0.4172910749912262,0.42050132155418396,0.5355415940284729,0.653962254524231
1,"2018,2019",2021,2020,0.36809083819389343,0.5149283409118652,0.3467363715171814,0.4453359842300415,0.49808254837989807,0.5329535603523254
2,"2018,2020",2019,2021,0.4829407036304474,0.5965303182601929,0.425039678812027,0.4195958971977234,0.5593094229698181,0.6390583515167236
3,"2018,2020",2021,2019,0.21573223173618317,0.38980820775032043,0.24208804965019226,0.4584900140762329,0.48361489176750183,0.32648077607154846
4,"2018,2021",2019,2020,0.35966917872428894,0.5203973650932312,0.35171428322792053,0.4438130557537079,0.5172833204269409,0.5235491394996643
5,"2018,2021",2020,2019,0.21256445348262787,0.3914291262626648,0.2433396726846695,0.4551537036895752,0.4235323369503021,0.3638497591018677
6,"2019,2020",2018,2021,0.5031441450119019,0.5903686285018921,0.41881063580513,0.4257630407810211,0.5532300472259521,0.6328522562980652
7,"2019,2020",2021,2018,0.2878749966621399,0.4341515004634857,0.27726277709007263,0.4414774775505066,0.38108307123184204,0.5043914318084717
8,"2019,2021",2018,2020,0.35156887769699097,0.511918306350708,0.3440122604370117,0.447847455739975,0.5377641916275024,0.48844292759895325
9,"2019,2021",2020,2018,0.3592774569988251,0.4957009255886078,0.32952284812927246,0.44509533047676086,0.506969153881073,0.48492273688316345
10,"2020,2021",2018,2019,0.20829327404499054,0.39173373579978943,0.24357517063617706,0.4569792151451111,0.46117034554481506,0.34047043323516846
11,"2020,2021",2019,2018,0.3644006550312042,0.516581118106842,0.3482368588447571,0.444655179977417,0.542458713054657,0.49306008219718933
