model,fold,test_year,test_AP,test_loss,best_val_AP,epochs,seconds
baseline,5,2019,0.26977,0.00024,0.338,45,822.1
fno_bottleneck,5,2019,0.30245,0.00023,0.32266,50,921.6
baseline,0,2021,0.4924,0.00016,0.28365,28,382.3
fno_bottleneck,0,2021,0.54172,0.00015,0.30146,50,643.7
baseline,3,2019,0.25013,0.00023,0.48705,50,905.0
fno_bottleneck,3,2019,0.15513,0.00024,0.51979,50,916.1
baseline,6,2021,0.47446,0.00026,0.36414,50,634.8
fno_bottleneck,6,2021,0.49203,0.00024,0.39208,50,644.3
fno_16x16,5,2019,0.06568,0.0003,0.32029,50,923.6
fno_16x16,0,2021,0.44706,0.00018,0.28312,28,409.3
fno_16x16,3,2019,0.23809,0.00023,0.53172,50,939.8
fno_16x16,6,2021,0.48562,0.00024,0.3997,50,653.2
